"uri","label","category","main_tags","event_tags","architecture_tags"
"15/e4267343-4ad5-3fc6-9337-117f8c41b92d","Les Hôtels de Beauval","act","BusinessPlace;ConventionCentre;PlaceOfInterest","",""
"15/e42a5355-064f-315d-8041-a0ec1e86a030","Kota Luxe à la Cave Margot","gite","Accommodation;PlaceOfInterest;RentalAccommodation","AccommodationProduct;Chalet;Product",""
"15/e453f302-c5c1-3b0c-85c9-90c8b9f85faf","Château de Grillemont","castle","Castle;CulturalSite;ParkAndGarden;PlaceOfInterest;RemarkableBuilding","",""
"15/e4932359-fd95-3919-991b-c9a038d230ab","La Rabouilleuse - Ecole de Loire","sport","PlaceOfInterest;SightseeingBoat;SportsAndLeisurePlace","",""
"15/e4a13220-b35e-3698-9cec-b1d33308b69f","Musée Balzac - Château de Saché","museum","CulturalSite;Museum;ParkAndGarden;PlaceOfInterest","",""
"15/e4acabd4-cb79-37aa-a7a8-316262728247","Canoë Company - ""Touraine à Vélo""","sport","EquipmentRentalShop;PlaceOfInterest;ServiceProvider;SportsAndLeisurePlace","EquipmentRental;Product;Rental",""
"15/e4ee6126-19ef-3e20-b9c9-afd0e6ec4e3d","Gîte de Roches Hibou","gite","Accommodation;PlaceOfInterest;RentalAccommodation;SelfCateringAccommodation","",""
"15/e4f42c05-b505-3c60-b923-fdedd0a4f6cf","L'Atelier K - Le Loft - Lofts à louer à Blois-Chambord","gite","Accommodation;PlaceOfInterest;RentalAccommodation;SelfCateringAccommodation","",""
"15/e520c1b3-3fe9-30dc-9d25-ffc4df671843","Bureau d'information touristique de Cheverny","act","PlaceOfInterest;TouristInformationCenter","",""
"15/e58133c8-db68-3394-bbdc-f8a8e1a594f5","Le Pont-Levis","bar","BistroOrWineBar;BrasserieOrTavern;FastFoodRestaurant;FoodEstablishment;PlaceOfInterest;Restaurant","",""
"15/e5b37ec7-8856-3731-b555-61db681084b2","Domaine de la Doltière","tasting","PlaceOfInterest;Producer;TastingProvider;WineCellar","Practice;Product;Tasting",""
"15/e5eda76a-f45e-3a5b-a2b4-06b777d7b5b6","Château de Pray","Hotel","Accommodation;FoodEstablishment;Hotel;HotelRestaurant;HotelTrade;PlaceOfInterest;Restaurant","",""
"15/e618a11c-6333-3250-bee2-34783c10e5c2","Manoir Du Parc","gite","Accommodation;PlaceOfInterest;RentalAccommodation;SelfCateringAccommodation","",""
"15/e631c1b8-32ad-31e3-9296-9c66eed6f84c","Domaine De La Trigaliere - Ste Christine","gite","Accommodation;PlaceOfInterest;RentalAccommodation;SelfCateringAccommodation","",""
"15/e6358b8a-0773-3fc6-b926-0ff86814d1e8","Central Parc Tours - Type 3 **** Séquoia","gite","Accommodation;PlaceOfInterest;RentalAccommodation;SelfCateringAccommodation","",""
"15/e645b5fc-12e1-3118-80b9-a5d0b2edd6de","La Florentinière","gite","Accommodation;PlaceOfInterest;RentalAccommodation;SelfCateringAccommodation","",""
"15/e65f127b-36ac-3995-a6db-b18cc50e784c","Roue Lib'","sport","EquipmentRentalShop;PlaceOfInterest;ServiceProvider;SportsAndLeisurePlace","EquipmentRental;Product;Rental",""
"15/e661b8d4-1c64-3994-9bf2-658bd27524d1","Hellebores | 123sologne","gite","Accommodation;PlaceOfInterest;RentalAccommodation;SelfCateringAccommodation","",""
"15/e6d15838-7673-3bce-b1f4-24df8a94284d","Office de Tourisme Touraine Nature","act","IncomingTravelAgency;LocalTouristOffice;PlaceOfInterest;TouristInformationCenter","",""
"15/e6d1ec2f-4a78-3606-b00a-ac7288439fef","Domaine du Grand Villegomblain","act","BusinessPlace;ConventionCentre;PlaceOfInterest","",""
"15/e6e97b0f-fb19-3074-bf09-b3fb762eac93","Château de Selles-sur-Cher","castle","Castle;CulturalSite;PlaceOfInterest;RemarkableBuilding","",""
"15/e70ddab5-2709-34da-b901-8f8e9395645e","Domaine du Clos Roussely","tasting","PlaceOfInterest;TastingProvider;WineCellar","Practice;Product;Tasting",""
"15/e71f366b-3b26-34d7-af48-985989efbbdb","Visite guidée estivale de la ville de Loches","act","CityHeritage;CulturalSite;PlaceOfInterest","","Médiéval;Renaissance"
"15/e7252a05-532b-3499-8edc-f6cd1cddc7e4","Château de Champchevrier","castle","Castle;CulturalSite;PlaceOfInterest;RemarkableBuilding","",""
"15/e72b109f-c9f2-3ee9-be76-e37ddc08b0ce","La Tribu du zoo","gite","Accommodation;PlaceOfInterest;RentalAccommodation;SelfCateringAccommodation","",""
"15/e746df56-000f-37b4-b805-837b219fa56c","Château La Borde Saint-Martin","act","BusinessPlace;PlaceOfInterest","",""
"15/e7b8eefb-06bd-3103-bd24-a32ed361fe9f","Le Mastroquet","Resto","FoodEstablishment;PlaceOfInterest;Restaurant","",""
"15/e7bb3763-88fd-3b02-931d-94f571c89370","Brasserie de l'Aurore","tasting","Brewery;PlaceOfInterest;TastingProvider","Practice;Product;Tasting",""
"15/e8031af9-07e9-38ae-8adf-3c1f4fcc9171","Charles Barrier","Resto","FoodEstablishment;PlaceOfInterest;Restaurant","",""
"15/e808779f-dfcb-34d6-9b87-68aa5e8eda5a","Les Clématites","gite","Accommodation;PlaceOfInterest;RentalAccommodation;SelfCateringAccommodation","",""
"15/e8527caf-c367-36bb-b48a-36542eeea876","La villa pop","gite","Accommodation;PlaceOfInterest;RentalAccommodation;SelfCateringAccommodation","",""
"15/e86aad2e-4570-38eb-8001-a954f0c68e4b","L'Épicerie","Resto","FoodEstablishment;PlaceOfInterest;Restaurant","",""
"15/e87d1c54-60c9-3b62-8fd7-d704a3fc21d0","Gîtes de Galarne - Girouet","gite","Accommodation;PlaceOfInterest;RentalAccommodation;SelfCateringAccommodation","",""
"15/e8ded709-f5a2-357e-be75-31709a9474fe","La Closerie de Chambord","act","Accommodation;CollectiveAccommodation;GroupLodging;PlaceOfInterest","",""
"15/e8f87888-2481-3aec-bd3c-6a1449f690b7","Gîte Camilia","gite","Accommodation;PlaceOfInterest;RentalAccommodation;SelfCateringAccommodation","",""
"15/e9f45424-9c1b-36de-9fd0-84a76561363f","Ethic Etapes Val de Loire","act","Accommodation;CollectiveAccommodation;PlaceOfInterest;YouthHostelAndInternationalCenter","",""
"15/ea2e1ecc-aa60-37eb-9541-aefe3046f6ae","La Grande Maison - Gîte de groupe","act","Accommodation;CollectiveAccommodation;GroupLodging;PlaceOfInterest","",""
"15/ea375ee4-37e7-3113-bc30-d69da0e8e395","Château du Gerfaut","act","CafeOrTeahouse;FoodEstablishment;PlaceOfInterest","",""
"15/ea3a27b1-31b0-3b83-9b18-7039f5e8da8e","Mi faim mi raisin","bar","BistroOrWineBar;BrasserieOrTavern;FoodEstablishment;PlaceOfInterest;Restaurant","",""
"15/ea3ffcd8-a057-3911-9436-d076a19d5e28","Domaine de Monclos","tasting","PlaceOfInterest;Producer;TastingProvider;WineCellar","Practice;Product;Tasting",""
"15/ea46d4bc-929d-3936-94b6-8e9e61b1c4d1","Eglise Saint-Mandé Saint-Jean","church","Church;CulturalSite;PlaceOfInterest;ReligiousSite","",""
"15/ea65faf3-f47d-3ef6-a87f-8fc26c395977","Gîte la Trotinière","act","Accommodation;CollectiveAccommodation;GroupLodging;HolidayCentre;PlaceOfInterest","",""
"15/ea8d0e07-bf94-3150-a3dc-d64baaa67893","La grange","gite","Accommodation;PlaceOfInterest;RentalAccommodation;SelfCateringAccommodation","",""
"15/eab5ace3-86cd-381c-a675-9a4bbff00322","Hôtel du Théâtre","Hotel","Accommodation;Hotel;HotelTrade;PlaceOfInterest","",""
