uri,label,category,main_tags,event_tags,architecture_tags
15/f9cc0cb1-1415-3e35-add9-eb7ebee50d69,Héli-Passion Val de Loire,sport,EquipmentRentalShop;PlaceOfInterest;ServiceProvider;SportsAndLeisurePlace,AccompaniedPractice;Course;DevelopmentCourse;EquipmentRental;FirstPractice;FreePractice;IntroductionCourse;Practice;Product;Rental,""
15/5e066b1b-3a8d-39e7-b04f-4fd92ceb0652,Tir à l'arc - Loisirs Loire Valley,sport,EquipmentRentalShop;PlaceOfInterest;ServiceProvider;SportsAndLeisurePlace,AccompaniedPractice;DevelopmentCourse;EquipmentRental;FirstPractice;FreePractice;IntroductionCourse;Practice;Product;Rental,""
15/99768e0f-ffcd-3b84-8152-5b9f50aa5f98,Centre de Tourisme Equestre - Attelage Plaisir,sport,EquipmentRentalShop;PlaceOfInterest;ServiceProvider;SportsAndLeisurePlace,AccompaniedPractice;Course;DevelopmentCourse;EquipmentRental;FirstPractice;IntroductionCourse;Practice;Product;Rental,""
15/25dfb3f3-9f44-3503-86a5-32ccff21e346,Canoe-kayak club de tours,sport,EquipmentRentalShop;PlaceOfInterest;ServiceProvider;SportsAndLeisurePlace,AccompaniedPractice;Course;DevelopmentCourse;EquipmentRental;FreePractice;IntroductionCourse;Practice;Product;Rental,""
15/288ab95f-a0b9-3979-988b-29a3d0a022a6,Pôle karting service,sport,EquipmentRentalShop;PlaceOfInterest;ServiceProvider;SportsAndLeisurePlace,AccompaniedPractice;Course;DevelopmentCourse;EquipmentRental;FreePractice;IntroductionCourse;Practice;Product;Rental,""
15/c2e6f4bd-7a8b-3878-be10-a828607f38ee,Canoë Company Loire,sport,EquipmentRentalShop;PlaceOfInterest;ServiceProvider;SportsAndLeisurePlace,AccompaniedPractice;Course;DevelopmentCourse;EquipmentRental;FreePractice;MultiActivity;Practice;Product;Rental,""
15/d3bce86c-056d-3256-ab29-bd38d175667a,Canoë company Cher,sport,EquipmentRentalShop;PlaceOfInterest;ServiceProvider;SportsAndLeisurePlace,AccompaniedPractice;Course;DevelopmentCourse;EquipmentRental;FreePractice;MultiActivity;Practice;Product;Rental,""
15/4872c0ab-08af-3cfa-b969-c25b8ef25f16,Karting Center Tours,sport,EquipmentRentalShop;PlaceOfInterest;ServiceProvider;SportsAndLeisurePlace,Course;DevelopmentCourse;EquipmentRental;FreePractice;IntroductionCourse;MultiActivity;Practice;Product;Rental,""
15/e19cbb81-0773-3117-94fa-e77088c3a660,Aventure Canoë sur le Cher,sport,EquipmentRentalShop;PlaceOfInterest;ServiceProvider;SportsAndLeisurePlace,AccompaniedPractice;DevelopmentCourse;EquipmentRental;FreePractice;IntroductionCourse;Practice;Product;Rental,""
15/8162ba82-44cf-39c9-8d56-8a600499fca8,Ball trap club des Bruyères de Tours,sport,EquipmentRentalShop;PlaceOfInterest;ServiceProvider;SportsAndLeisurePlace,AccompaniedPractice;Course;DevelopmentCourse;EquipmentRental;IntroductionCourse;Practice;Product;Rental,""
15/72dcba17-2144-3ffd-9fda-b121bf4ceea3,Visites guidées en Segway - Freemove,sport,EquipmentRentalShop;PlaceOfInterest;ServiceProvider;SportsAndLeisurePlace,AccompaniedPractice;DevelopmentCourse;EquipmentRental;IntroductionCourse;Practice;Product;Rental,""
15/9ac42e19-f2bd-3f8e-b557-46af039b3ee5,Tours & canoë,sport,EquipmentRentalShop;PlaceOfInterest;ServiceProvider;SportsAndLeisurePlace,AccompaniedPractice;Course;EquipmentRental;FreePractice;MultiActivity;Practice;Product;Rental,""
